app_id,date_of_app,user_id,subsidy_name,carID
1,2021-04-03,1,C3,5710
2,2021-11-10,2,C3,3961
3,2020-06-24,3,C12,3967
4,2020-12-15,4,C11,8062
5,2022-09-11,5,C5,7776
6,2022-04-02,6,C3,7974
7,2022-12-08,7,C8,9186
8,2021-08-02,8,C6,9120
9,2020-09-03,9,C1,5129
10,2022-11-19,10,C14,2586
11,2022-08-21,11,C1,4238
12,2022-04-25,12,C11,1285
13,2020-05-11,13,C13,5208
14,2020-02-23,14,C4,2141
15,2020-12-05,15,C11,1585
16,2021-12-30,16,C5,7269
17,2020-01-01,17,C1,4075
18,2021-03-16,18,C11,2082
19,2021-01-02,19,C10,4141
20,2020-11-24,20,C5,9919
21,2020-12-22,21,C7,8342
22,2022-05-27,22,C7,5882
23,2021-03-19,23,C11,9246
24,2020-05-02,24,C4,4877
25,2021-09-02,25,C1,3636
26,2022-04-14,26,C4,8548
27,2022-05-04,27,C12,1834
28,2020-09-05,28,C5,1837
29,2021-12-14,29,C5,3354
30,2021-04-18,30,C3,9531
31,2022-11-08,31,C4,9730
32,2021-09-05,32,C13,5844
33,2020-12-12,33,C5,5203
34,2022-07-14,34,C7,7850
35,2022-09-21,35,C8,3469
36,2022-07-27,36,C7,4776
37,2021-09-10,37,C1,4370
38,2021-10-03,38,C6,1934
39,2022-10-27,39,C13,4903
40,2021-10-08,40,C3,1675
41,2020-03-29,41,C3,4001
42,2020-04-07,42,C8,9543
43,2020-11-06,43,C2,3783
44,2021-07-14,44,C13,1045
45,2020-09-20,45,C10,9441
46,2020-04-24,46,C10,1683
47,2020-08-16,47,C8,6150
48,2020-01-12,48,C12,8276
49,2022-11-29,49,C2,2529
50,2021-11-25,50,C12,8216
51,2020-05-30,51,C4,1051
52,2022-02-06,52,C12,4864
53,2022-11-03,53,C10,1193
54,2021-12-10,54,C12,1234
55,2021-12-23,55,C8,4053
56,2020-10-10,56,C12,9839
57,2020-05-21,57,C11,8162
58,2021-05-17,58,C14,3662
59,2022-01-18,59,C7,3797
60,2022-11-12,60,C4,9295
61,2022-08-08,61,C7,5922
62,2021-06-02,62,C1,4710
63,2022-04-13,63,C14,5664
64,2022-03-11,64,C10,4568
65,2022-07-29,65,C11,7021
66,2020-05-07,66,C11,7730
67,2022-02-26,67,C11,4990
68,2022-06-30,68,C3,4427
69,2021-06-06,69,C6,1330
70,2020-02-16,70,C3,6609
71,2020-02-21,71,C7,8224
72,2022-07-04,72,C6,5812
73,2022-01-26,73,C1,2234
74,2021-01-02,74,C8,3929
75,2022-11-05,75,C10,9445
76,2020-10-04,76,C2,2576
77,2020-04-12,77,C11,4892
78,2020-03-22,78,C8,8740
79,2021-03-23,79,C11,5186
80,2021-11-28,80,C11,6356
81,2021-08-16,81,C12,9854
82,2021-09-04,82,C11,9094
83,2022-11-23,83,C4,9088
84,2020-02-25,84,C11,7491
85,2020-10-23,85,C12,6865
86,2021-06-16,86,C11,6421
87,2022-04-18,87,C4,9444
88,2021-03-08,88,C5,6027
89,2020-06-19,89,C12,5678
90,2022-04-01,90,C5,8081
91,2022-04-15,91,C14,8678
92,2021-08-27,92,C2,7441
93,2022-01-14,93,C6,5584
94,2020-08-15,94,C3,6977
95,2021-02-21,95,C11,3541
96,2020-08-06,96,C2,9112
97,2022-08-04,97,C4,5032
98,2021-07-15,98,C8,8643
99,2020-01-18,99,C13,6051
100,2022-12-18,100,C3,7562
